/var/local/sangmank/privos/host/qemu-kvm-0.15.1/x86_64-softmmu/qemu-system-x86_64 -m 2048 -net nic,model=virtio,encrypt,macaddr=52:54:F4:A0:AC:0A -net user,net=10.0.0.0/8,dhcpstart=10.0.0.1 -redir tcp:8080:10.0.0.1:80 -redir tcp:2222:10.0.0.1:22 --snapshot /var/local/sangmank/privos/diff_base.img -priv-sound -priv-diff
Using a nonsense rng (outputs 0x01 bytes always)
do_kex: process_msg: rc 1
kern_send_kex_msg: kern_fd 9 in_size 266
do_kex: backend kex: rc 1
do_kex: process_msg: rc 0
Using a nonsense rng (outputs 0x01 bytes always)
do_kex: process_msg: rc 1
kern_send_kex_msg: kern_fd 10 in_size 266
do_kex: backend kex: rc 1
do_kex: process_msg: rc 0
#### PRIVATE DIFF MODE ENABLED! ####
#### PRIVATE DIFF MODE ENABLED! ####
Disable ENCRYPTION with NO_ENCRYPT
Disable GL+ENCRYPTION with DISABLE_GPU_ENC
ui/sdl.c:139,gpu_set_gl_properties is ignored because the screen width is not 1024
resizing to 640 480
resizing to 720 400
resizing to 800 599
resizing to 1024 768
Disable ENCRYPTION with NO_ENCRYPT
Disable GL+ENCRYPTION with DISABLE_GPU_ENC
Allocating host and CUDA memory and loading image file...
Loading extensions: No error
Creating GL texture 1024x768...
Texture created.
Creating PBO...
PBO created.
encryption inited,buffer created
GPU thread Initialized
Avg_fps=67.812, time_per_frame=14745.000us, gpu=13095.000us, cpu=1639.000us 
Avg_fps=67.816, time_per_frame=14717.000us, gpu=13120.000us, cpu=1586.000us 
Avg_fps=67.818, time_per_frame=14838.000us, gpu=13106.000us, cpu=1721.000us 
Avg_fps=67.820, time_per_frame=14706.000us, gpu=13107.000us, cpu=1588.000us 
Avg_fps=67.821, time_per_frame=14764.000us, gpu=13158.000us, cpu=1595.000us 
Avg_fps=67.819, time_per_frame=14702.000us, gpu=13106.000us, cpu=1585.000us 
Avg_fps=67.819, time_per_frame=14715.000us, gpu=13101.000us, cpu=1603.000us 
Avg_fps=67.819, time_per_frame=14690.000us, gpu=13094.000us, cpu=1585.000us 
Avg_fps=67.821, time_per_frame=14761.000us, gpu=13108.000us, cpu=1642.000us 
Avg_fps=67.823, time_per_frame=14771.000us, gpu=13111.000us, cpu=1649.000us 
Avg_fps=67.824, time_per_frame=14657.000us, gpu=13060.000us, cpu=1586.000us 
Avg_fps=67.826, time_per_frame=14698.000us, gpu=13101.000us, cpu=1586.000us 
Avg_fps=67.827, time_per_frame=14729.000us, gpu=13132.000us, cpu=1586.000us 
Avg_fps=67.828, time_per_frame=14709.000us, gpu=13111.000us, cpu=1587.000us 
Avg_fps=67.829, time_per_frame=14767.000us, gpu=13090.000us, cpu=1666.000us 
Avg_fps=67.830, time_per_frame=14690.000us, gpu=13087.000us, cpu=1592.000us 
Avg_fps=67.832, time_per_frame=14796.000us, gpu=13197.000us, cpu=1588.000us 
Avg_fps=67.834, time_per_frame=14689.000us, gpu=13092.000us, cpu=1586.000us 
Avg_fps=67.834, time_per_frame=14771.000us, gpu=13160.000us, cpu=1600.000us 
Avg_fps=67.835, time_per_frame=14696.000us, gpu=13100.000us, cpu=1585.000us 
Avg_fps=67.837, time_per_frame=14744.000us, gpu=13093.000us, cpu=1640.000us 
Avg_fps=67.839, time_per_frame=14688.000us, gpu=13092.000us, cpu=1585.000us 
Avg_fps=67.840, time_per_frame=14721.000us, gpu=13125.000us, cpu=1585.000us 
Avg_fps=67.842, time_per_frame=14713.000us, gpu=13116.000us, cpu=1586.000us 
Avg_fps=67.838, time_per_frame=14826.000us, gpu=13173.000us, cpu=1642.000us 
utils/kvm_linux: line 215:  5774 Killed                  ${CMD}
