/var/local/sangmank/privos/host/qemu-kvm-0.15.1/x86_64-softmmu/qemu-system-x86_64 -m 2048 -net nic,model=virtio,encrypt,macaddr=52:54:45:42:CF:CC -net user,net=10.0.0.0/8,dhcpstart=10.0.0.1 -redir tcp:8080:10.0.0.1:80 -redir tcp:2222:10.0.0.1:22 --snapshot /var/local/sangmank/privos/diff_base.img -priv-sound -priv-diff
Using a nonsense rng (outputs 0x01 bytes always)
do_kex: process_msg: rc 1
kern_send_kex_msg: kern_fd 9 in_size 266
do_kex: backend kex: rc 1
do_kex: process_msg: rc 0
Using a nonsense rng (outputs 0x01 bytes always)
do_kex: process_msg: rc 1
kern_send_kex_msg: kern_fd 10 in_size 266
do_kex: backend kex: rc 1
do_kex: process_msg: rc 0
#### PRIVATE DIFF MODE ENABLED! ####
#### PRIVATE DIFF MODE ENABLED! ####
Disable ENCRYPTION with NO_ENCRYPT
Disable GL+ENCRYPTION with DISABLE_GPU_ENC
ui/sdl.c:139,gpu_set_gl_properties is ignored because the screen width is not 1024
resizing to 640 480
resizing to 720 400
resizing to 800 599
resizing to 1024 768
Disable ENCRYPTION with NO_ENCRYPT
Disable GL+ENCRYPTION with DISABLE_GPU_ENC
Allocating host and CUDA memory and loading image file...
Loading extensions: No error
Creating GL texture 1024x768...
Texture created.
Creating PBO...
PBO created.
encryption inited,buffer created
GPU thread Initialized
Avg_fps=67.782, time_per_frame=14694.000us, gpu=13089.000us, cpu=1594.000us 
Avg_fps=67.784, time_per_frame=14707.000us, gpu=13092.000us, cpu=1604.000us 
Avg_fps=67.785, time_per_frame=14789.000us, gpu=13089.000us, cpu=1689.000us 
Avg_fps=67.785, time_per_frame=14780.000us, gpu=13124.000us, cpu=1645.000us 
Avg_fps=67.787, time_per_frame=14701.000us, gpu=13097.000us, cpu=1593.000us 
Avg_fps=67.789, time_per_frame=14734.000us, gpu=13114.000us, cpu=1609.000us 
Avg_fps=67.790, time_per_frame=14732.000us, gpu=13127.000us, cpu=1594.000us 
Avg_fps=67.790, time_per_frame=14716.000us, gpu=13112.000us, cpu=1593.000us 
Avg_fps=67.791, time_per_frame=14727.000us, gpu=13104.000us, cpu=1612.000us 
Avg_fps=67.791, time_per_frame=14699.000us, gpu=13096.000us, cpu=1592.000us 
Avg_fps=67.792, time_per_frame=14724.000us, gpu=13107.000us, cpu=1605.000us 
Avg_fps=67.792, time_per_frame=14726.000us, gpu=13114.000us, cpu=1601.000us 
Avg_fps=67.793, time_per_frame=14709.000us, gpu=13104.000us, cpu=1594.000us 
Avg_fps=67.792, time_per_frame=14708.000us, gpu=13102.000us, cpu=1595.000us 
Avg_fps=67.793, time_per_frame=14715.000us, gpu=13111.000us, cpu=1593.000us 
Avg_fps=67.794, time_per_frame=14728.000us, gpu=13121.000us, cpu=1596.000us 
Avg_fps=67.795, time_per_frame=14695.000us, gpu=13089.000us, cpu=1595.000us 
Avg_fps=67.797, time_per_frame=14706.000us, gpu=13101.000us, cpu=1594.000us 
Avg_fps=67.797, time_per_frame=14707.000us, gpu=13094.000us, cpu=1602.000us 
Avg_fps=67.798, time_per_frame=14740.000us, gpu=13130.000us, cpu=1599.000us 
Avg_fps=67.799, time_per_frame=14805.000us, gpu=13198.000us, cpu=1596.000us 
Avg_fps=67.799, time_per_frame=14739.000us, gpu=13114.000us, cpu=1614.000us 
Avg_fps=67.800, time_per_frame=14678.000us, gpu=13075.000us, cpu=1592.000us 
Avg_fps=67.799, time_per_frame=14784.000us, gpu=13107.000us, cpu=1666.000us 
Avg_fps=67.799, time_per_frame=14743.000us, gpu=13139.000us, cpu=1593.000us 
Avg_fps=67.786, time_per_frame=14777.000us, gpu=13169.000us, cpu=1597.000us 
utils/kvm_linux: line 215:  5846 Killed                  ${CMD}
